source_name,source_link,event_id,event_date,event_time,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
AGU,https://blogs.agu.org/landslideblog/2008/10/14/the-lifan-landslide-from-natural-disaster-to-cover-up/,684,8/1/2008 0:00,,"Sigou Village, Loufan County, Shanxi Province",unknown,landslide,rain,large,mine,11,,,684,China,CN,Shaanxi,0,Jingyang,41.02145,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,107.45,32.5625
Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,956,1/2/2009 2:00,2:00,"Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0,,,956,United States,US,Oregon,36619,Lake Oswego,0.60342,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.663,45.42
CBS News,https://www.cbsnews.com/news/dozens-missing-after-peru-landslides/,973,1/19/2007 0:00,,"San Ramon district, 195 miles northeast of the capital, Lima, ",10km,landslide,downpour,large,unknown,10,,,973,Peru,PE,Junín,14708,San Ramón,0.85548,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-75.3587,-11.1295
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1067,7/31/2009 0:00,,Dailekh district,unknown,landslide,monsoon,medium,unknown,1,,,1067,Nepal,NP,Mid Western,20908,Dailekh,0.75395,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,81.708,28.8378
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2603,10/16/2010 12:00,12:00,sitio Bakilid in barangay Lahug,5km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),2603,Philippines,PH,Central Visayas,798634,Cebu City,2.02204,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.8978,10.3336
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4203,2/16/2012 0:00,,"Paguite, Abuyog, Leyte",5km,landslide,downpour,medium,unknown,0,,,4203,Philippines,PH,Eastern Visayas,2404,Balinsacayao,2.28967,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,124.9668,10.7004
The Spokesman-Review,http://www.spokesman.com/stories/2012/mar/31/flooding-reported-across-region/,4290,3/30/2012 0:00,,"Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0,,,4290,United States,US,Washington,2126,Newport,19.97241,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-117.2665,48.2797
Crónica Diaria,http://www.cronica.com.mx/notas/2007/320673.html,225,9/2/2007 0:00,,"calle Granjas, Ampliación Miguel de la Madrid, Acapulco",10km,complex,tropical_cyclone,medium,unknown,3,,Tropical Storm Henrietta,225,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-107.622,24.9531
MagicValley.com,http://magicvalley.com/news/local/first-fires-now-mud/article_a1e57eb0-596b-5b44-8356-4e58e177aa12.html,236,9/5/2007 0:00,10:00,"Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,,,,236,United States,US,Idaho,2689,Ketchum,4.51471,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-114.4194,43.6846
UPI,https://www.upi.com/Top_News/2008/11/05/China-mudslide-death-toll-put-at-40/80051225865638/,873,11/1/2008 0:00,,"Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.",10km,complex,downpour,medium,unknown,2,,,873,China,CN,Yunnan,0,Mengmeng,55.18512,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,100.0845,23.89
BBC News,http://news.bbc.co.uk/2/hi/asia-pacific/7710105.stm,874,11/1/2008 0:00,,"Kunming, Yunnan",25km,complex,downpour,medium,unknown,4,,,874,China,CN,Yunnan,1023674,Kunming,6.82298,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,102.695,25.0967
Oregon DOT,,8253,12/21/2014 8:10,8:00,"US 30, milepost 29",exact,landslide,unknown,unknown,above_road,0,0,,8253,United States,US,Oregon,12883,Saint Helens,0.87786,7/5/2016 18:26,11/20/2017 15:17,2/15/2018 15:51,-122.8178,45.8647
Salem-News.com,http://www.salem-news.com/articles/january012009/hoodland_closure_1-1-09.php,954,1/1/2009 22:24,22:00,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,10km,mudslide,rain,small,unknown,0,,,954,United States,US,Oregon,4864,Mount Hood Village,7.43093,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.0704,45.377
ABS-CBN News,http://news.abs-cbn.com/nation/regions/01/03/09/landslide-matnog-forces-hospital-evacuation,955,1/2/2009 20:30,20:00,"Gadgaron village of Matnog town, Sorsogon ",5km,landslide,downpour,medium,unknown,0,1,,955,Philippines,PH,Bicol,6721,Matnog,5.5353,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,124.0419,12.5655
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,957,1/3/2009 0:00,,"Suburban Portland, Oregon.",10km,mudslide,rain,small,unknown,0,,,957,United States,US,Oregon,583776,Portland,0.55624,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.67,45.521
GoUpstate.com,http://www.goupstate.com/news/20090107/2-escape-with-their-lives-after-mudslide-levels-home,958,1/7/2009 1:41,2:00,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",1km,landslide,rain,small,unknown,0,,,958,United States,US,North Carolina,1150,Maggie Valley,2.71542,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-83.071,35.507
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/high_winds_heavy_rain_expected.html,959,1/7/2009 0:00,,"Rochester along the Cowlitz and Lewis rivers, Washington",5km,landslide,rain,small,unknown,0,,,959,United States,US,Oregon,1895,Rainier,4.05885,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.893,46.11
Ballard News Tribune,https://ballardnewstribune.com/robinson-papers/2009/02/02/mudslide-forced-normandy-park-woman-run-her-life,961,1/7/2009 0:00,,"Sixth Place South in Normandy Park , Washington",5km,mudslide,rain,small,unknown,0,,,961,United States,US,Washington,6335,Normandy Park,0.68778,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.334,47.432
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,962,1/7/2009 0:00,,"Concrete, 70 miles northeast of Seattle,Washington",5km,landslide,downpour,medium,unknown,0,,,962,United States,US,Washington,1347,Darrington,33.29411,9/15/2014 17:52,11/20/2017 15:17,2/15/2018 15:51,-121.75,48.538
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,963,1/7/2009 0:00,,"Acme area, Whatcom County, Washington",1km,mudslide,rain,small,unknown,0,,,963,United States,US,Washington,6441,Sudden Valley,10.78797,9/11/2014 21:04,11/20/2017 15:17,2/15/2018 15:51,-122.2,48.72
TDN,http://tdn.com/news/slide-pushes-kelso-home-off-foundation/article_d2b8e780-ecfd-5ad1-9e8f-fa19ea3c0109.html,964,1/8/2009 0:00,,"Burcham Street, Kelso,Washington",5km,mudslide,unknown,small,unknown,0,,,964,United States,US,Washington,11925,Kelso,1.87666,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.909,46.1299
Seattle Pi,http://www.seattlepi.com/local/article/Seattle-dodged-bullet-with-landslides-this-time-1296967.php,965,1/8/2009 1:00,1:00,"9700 block of Rainier Avenue South, Seatle, Washington ",5km,complex,rain,small,unknown,0,,,965,United States,US,Washington,22699,Mercer Island,5.27987,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.273,47.538
The Bellingham Herald,http://www.bellinghamherald.com/latestheadlines/story/745810.html,966,1/8/2009 6:00,6:00,"Mount Baker Highway at about milepost 16, Washington",5km,mudslide,rain,small,unknown,0,,,966,United States,US,Washington,3324,Peaceful Valley,8.1479,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.037,48.929
Reuters,https://www.reuters.com/article/idUSLD370656._CH_.2400,968,1/13/2009 0:00,,"Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers",5km,landslide,downpour,medium,unknown,6,,,968,Algeria,DZ,Jijel,148000,Jijel,2.88422,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,5.765,36.7946
Bothell-Kenmore Reporter,http://www.bothell-reporter.com/news/mudslide-backs-up-northshore-traffic/,969,1/13/2009 8:50,9:00,"SR 522, near Bothell, Washington",1km,mudslide,rain,small,unknown,0,,,969,United States,US,Washington,33505,Bothell,0.57422,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.2072,47.7573
The Star Online,https://www.thestar.com.my/news/nation/2009/01/16/transborneo-highway-hit-by-landslide/,971,1/16/2009 13:00,13:00,"Sekolah Kebangsaan Sungai Arip, Mukah about 600 km from Kuching ",10km,landslide,rain,medium,unknown,0,,,971,Malaysia,MY,Sarawak,570407,Kuching,2.42408,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,110.3442,1.531
NBC News,http://www.nbcnews.com/id/28720034/ns/world_news-asiapacific/,972,1/19/2009 23:00,23:00,"Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta,",25km,landslide,rain,medium,unknown,4,,,972,Indonesia,ID,Nusa Tenggara Barat,0,Kampungbaru,0.63292,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,116.662,-8.5073
Reuters,https://www.reuters.com/article/idUSLD91292._CH_.2400,1085,8/13/2009 0:00,,Freetown,5km,landslide,downpour,medium,unknown,7,,,1085,Sierra Leone,SL,Western Area,802639,Freetown,0.13721,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-13.2287,8.4841
Hindustan Times,http://www.hindustantimes.com/world/two-dead-in-brunei-landslides-floods/story-qSO1J3fjnxUhOQ6Dp39WUI.html,974,1/22/2009 0:00,,Muara District,5km,landslide,downpour,medium,unknown,2,,,974,Brunei,BN,Brunei and Muara,64409,Bandar Seri Begawan,16.55352,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,115.0668,5.031
China.org.cn,http://www.china.org.cn/pictures/2009-01/24/content_17179420.htm,975,1/22/2009 0:00,,Mexico City,50km,landslide,downpour,medium,unknown,2,,,975,Mexico,MX,The Federal District,12294193,Mexico City,0.15208,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-99.1276,19.4271
ABC.net.au,http://www.abc.net.au/news/2009-01-27/fresh-warnings-after-storm-kills-26-in-southern/274060,976,1/26/2009 0:00,,South of Naples,5km,mudslide,downpour,medium,unknown,2,,,976,Italy,IT,Campania,959470,Napoli,0.79183,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,14.252,40.8403
ABC Channel 7 Eyewitness News,http://abc7.com/archive/6644840/,978,2/6/2009 0:00,,Sierra Madre foothills northeast of downtown Los Angeles,5km,mudslide,rain,small,unknown,0,,,978,United States,US,California,10917,Sierra Madre,0.26489,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-118.05,34.162
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1054,7/22/2009 0:00,,"Gayabari,  West Bengal ",10km,landslide,downpour,medium,unknown,0,,,1054,India,IN,Bengal,46427,Kārsiyāng,4.62496,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.3143,26.8572
GMA News Online,http://www.gmanetwork.com/news/news/regions/147987/4-killed-2-missing-in-negros-floods-landslides/story/,980,2/7/2009 0:00,,Barangay Sagbang in Valencia town,5km,landslide,downpour,medium,unknown,2,,,980,Philippines,PH,Central Visayas,0,Valencia,2.33966,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.226,9.29
GMA News Online,http://www.gmanetwork.com/news/news/regions/171859/landslide-kills-2-sisters-in-laguna-floods-affect-over-103-000-in-luzon/story/,983,9/9/2009 0:00,,"Sitio Camcaman in Real village in Calamba City, Laguna",10km,landslide,downpour,medium,unknown,2,,,983,Philippines,PH,Calabarzon,4164,Tignoan,6.62506,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,121.56,14.545
Drilling Today,http://dthrotarydrilling.com/News/24-april/VDOT.html,1010,4/20/2009 9:00,9:00,"Route 39 in Rockbridge County, Virginia",1km,mudslide,downpour,small,unknown,0,,,1010,United States,US,Virginia,1463,East Lexington,13.41471,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-79.4305,37.9137
NEWS.com.au,https://ns1.sammyboy.com/threads/take-care-aus-eastern-states-bunker-down-wild-weather.36247/,1118,8/23/2009 0:00,,"Stowport, near Burnie, Tasmania",5km,complex,downpour,small,unknown,0,,,1118,Australia,AU,Tasmania,19972,Burnie,0.40001,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,145.9063,-41.0528
SAARC Disaster Management Centre,http://saarc-sdmc.nic.in/latest192.asp,1048,7/2/2009 3:00,3:00,"Deurali VDC-8 in Kaski district, ",50km,landslide,monsoon,medium,unknown,3,,,1048,Nepal,NP,Western Region,200000,Pokhara,7.08117,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,83.9806,28.2039
SAARC Disaster Management Centre,http://saarc-sdmc.nic.in/latest192.asp,1049,7/2/2009 0:00,,"Dhapade VDC-5, Tanahun district",25km,landslide,monsoon,medium,unknown,2,,,1049,Nepal,NP,Western Region,0,Lamjung,32.28507,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,84.2279,27.9447
Hindustan Times,http://www.hindustantimes.com/world/death-toll-rises-to-15-in-japan-landslides-floods/story-k7EJFinIiCqfzUATg5vqML.html,1053,7/21/2009 0:00,,Hofu city in Yamaguchi prefecture,5km,landslide,downpour,medium,unknown,6,,,1053,Japan,JP,Yamaguchi,116925,Hōfu,0.57723,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,131.5729,34.0496
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1055,7/22/2009 0:00,,"Kerseong, West Bengal ",10km,landslide,downpour,medium,unknown,0,,,1055,India,IN,Bengal,46427,Kārsiyāng,0.15035,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.2788,26.8826
PhilStar Global,http://beta.philstar.com/breaking-news/489714/heavy-rains-kill-5-landslides-floods-japan,1058,7/24/2009 0:00,,Hiroshima Prefecture (find more information),10km,landslide,downpour,medium,unknown,2,,,1058,Japan,JP,Hiroshima,1143841,Hiroshima-shi,1.2282,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,132.4592,34.3852
ChinaDaily,http://www.chinadaily.com.cn/china/2009-07/25/content_8473398.htm,1060,7/25/2009 0:00,,"Wenchuan County, Sichuan",5km,landslide,downpour,medium,unknown,6,,,1060,China,CN,Sichuan,0,Weizhou,1.08737,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,103.5868,31.483
Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,1061,7/1/2009 5:40,6:00,"4th Mile, Lower Mangshila in North Sikkim",1km,landslide,downpour,medium,unknown,0,,,1061,India,IN,,1464,Mangan,3.541,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.527,27.478
NBC News,http://www.nbcnews.com/id/32186051/ns/us_news-msnbc_wire_services/t/die-nepal-floods-landslides/#.WjqIuVWnEbM,1062,7/27/2009 0:00,,Takdoo village (250 km North east of Kathmandu) ,25km,landslide,monsoon,large,unknown,13,,,1062,Nepal,NP,,1600,Kodāri,24.0447,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,85.71,28
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1065,7/31/2009 0:00,,(Chitrebhanjyang) Syangja districts,50km,landslide,monsoon,medium,unknown,5,,,1065,Nepal,NP,Western Region,21867,Wāling,17.40134,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,83.8791,28.1046
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1181,9/20/2009 18:30,18:00,"Mile point 5.4 on Mitkof Highway, Petersburg, Alaska",10km,mudslide,downpour,medium,unknown,,,,1181,United States,US,Alaska,2369,Wrangell,23.55928,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-132.7269,56.5561
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1187,9/22/2009 2:00,2:00,"Mile 4.5, Mitkof Highway, Alaska",5km,mudslide,downpour,medium,unknown,,,,1187,United States,US,Alaska,2369,Wrangell,24.6152,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-132.7348,56.5692
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1188,9/22/2009 5:00,5:00,"Mile point 17.5, Mitkof Highway, Alaska",5km,mudslide,downpour,medium,unknown,,,,1188,United States,US,Alaska,2369,Wrangell,16.55139,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-132.5617,56.5787
KitsapSun,http://www.kitsapsun.com/news/2009/nov/18/mudslide-destroys-gig-harbor-area-garage/#ixzz0XKFjIQI7,1312,11/18/2009 0:00,,"8500 block of 29th Street NW, Gig Harbor, Washington",1km,mudslide,downpour,small,unknown,0,,,1312,United States,US,Washington,6651,Wollochet,2.74791,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-122.5562,47.2846
The Jakarta Post,https://www.pressreader.com/indonesia/the-jakarta-post/20091123/282441345177838,1319,11/21/2009 0:00,,"49 points along the villages' road, Bruno district, Purworejo regency ",25km,landslide,downpour,medium,unknown,0,,,1319,Indonesia,ID,Central Java,31352,Kutoarjo,16.15374,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,109.9187,-7.571
WRCBtv.com,http://www.wrcbtv.com/story/11646330/wednesday-afternoon-update-road-closing-list,1353,12/9/2009 0:00,,Creek Road is closed at Signal Mountain Road,5km,mudslide,downpour,small,unknown,0,,,1353,United States,US,Tennessee,167674,Chattanooga,5.97545,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-85.3697,35.0672
WRCBtv.com,http://www.wrcbtv.com/story/11646330/wednesday-afternoon-update-road-closing-list,1354,12/9/2009 0:00,,Signal Mountain Road,5km,mudslide,downpour,small,unknown,0,,,1354,United States,US,Tennessee,7554,Signal Mountain,2.05274,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-85.3361,35.1052
CNN,http://www.cnn.com/2010/WORLD/americas/01/01/brazil.floods/index.html,1382,1/1/2010 0:00,4:00,Rio de Janeiro state,25km,mudslide,downpour,large,unknown,22,28,,1382,Brazil,BR,Rio de Janeiro,153635,Angra dos Reis,2.5888,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-44.32249842,-23.01374445
Oregon DOT,,8208,2/6/2015 13:18,13:00,"OR 42, milepost 42.2",exact,landslide,unknown,unknown,above_road,0,0,,8208,United States,US,Oregon,3742,Lafayette,3.64565,7/1/2016 18:10,11/20/2017 15:17,2/15/2018 15:51,-123.1587,45.2335
globo,"http://g1.globo.com/Noticias/Rio/0,,MUL1560027-5606,00-MORADORES+DE+NITEROI+REVIRAM+ESCOMBROS+ATRAS+DE+VIZINHOS+DESAPARECIDOS.html",1617,4/5/2010 0:00,11:00,"Travessa Doutor Beltrão, Santa Rosa",1km,landslide,downpour,medium,unknown,0,,,1617,Brazil,BR,Rio de Janeiro,456456,Niterói,2.64466,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-43.07409842,-22.89234445
E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164,7/29/2010 23:00,23:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0,,,2164,India,IN,Manipur,15118,Phek,39.51186,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.48214677,25.3098633
Dawn,https://www.dawn.com/news/551761,2216,8/6/2010 0:00,,"Gircha and Sarteez(Sartiz) villages, Gojal Tehsil, gilgit-baltistan",5km,landslide,downpour,medium,unknown,0,,,2216,Pakistan,PK,Gilgit-Baltistan,2005,Barishāl,41.15433,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,74.8609,36.6567
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2601,10/16/2010 0:00,,"Barrangay Pulang Bato (Pulangbato), Cebu",25km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),2601,Philippines,PH,Central Visayas,48638,Consolacion,5.0295,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.9153,10.395
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2607,10/17/2010 0:00,,"barangay Kalunasan, Cebu",25km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),2607,Philippines,PH,Central Visayas,7779,Asturias,0.5475,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.72,10.57
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2608,10/17/2010 0:00,,"Barrangay Binaliw, Cebu",10km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),2608,Philippines,PH,Central Visayas,2968,Sogod,2.66226,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.98,10.77
Google Earth,,2988,1/12/2011 0:00,,Nova Friburgo area,10km,mudslide,downpour,very_large,unknown,0,,,2988,Brazil,BR,Rio de Janeiro,153361,Nova Friburgo,9.07433,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-42.6018,-22.2331
Tribune India.com,,37,3/19/2007 0:00,,Doba,25km,landslide,rain,medium,unknown,2,,,37,India,IN,Kashmir,14711,Kupwāra,18.10887,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,74.3333,33.8778
WCAX,http://www.wcax.com/story/14568957/massive-mud-slide-hits-franklin-county,3463,5/4/2011 9:00,9:00,"on transfer station rd near old landfill(?), Franklin county, VT",1km,mudslide,downpour,small,unknown,0,,,3463,United States,US,Vermont,2386,Swanton,5.80477,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-73.0562,44.9378
IBN,http://ibnlive.in.com/generalnewsfeed/news/yatra-to-kedarnath-gangotri-yamunotri-resumes/745000.html,3669,6/29/2011 0:00,,"National Highway leading to Gangotri, from Dehradun",50km,landslide,downpour,medium,unknown,0,,,3669,India,IN,Uttarakhand,17123,Uttarkāshi,34.03469,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.7963,30.7666
asiantribune,http://www.asiantribune.com/news/2011/07/03/flood-and-landslide-wreak-havoc-death-toll-reaches-12,3712,7/3/2011 0:00,,Rural roads in Arghakhanchi,unknown,landslide,downpour,medium,unknown,2,,,3712,Nepal,NP,Western Region,91733,Butwāl,13.24717,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,83.5754,27.7394
asiantribune,http://www.asiantribune.com/news/2011/07/03/flood-and-landslide-wreak-havoc-death-toll-reaches-12,3709,7/3/2011 0:00,,Rural Roads in Baglung,25km,landslide,downpour,medium,unknown,0,,,3709,Nepal,NP,Western Region,23296,Bāglung,30.9652,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,83.2934,28.3683
asiantribune,http://www.asiantribune.com/news/2011/07/03/flood-and-landslide-wreak-havoc-death-toll-reaches-12,3710,7/3/2011 0:00,,Rural Roads in Gulmi,5km,landslide,downpour,medium,unknown,0,,,3710,Nepal,NP,Western Region,23693,Tānsen,34.98625,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,83.2934,28.0889
Nation News,http://www.nationnews.com/nationnews/news/97426/tropical-storm-beatriz-leaves-dead-mexico,9763,6/2/2017 13:34,,"San Francisco Ozolotepec, Oaxaca",10km,landslide,tropical_cyclone,medium,natural_slope,2,,Tropical Storm Beatriz,,,,,,,,6/16/2017 13:34,11/20/2017 15:17,2/15/2018 15:51,-96.22255907,16.09880042
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3750,7/9/2011 0:00,,Gangotri,50km,landslide,downpour,medium,unknown,0,,,3750,India,IN,Uttarakhand,17123,Uttarkāshi,14.8033,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.5925,30.7652
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3751,7/9/2011 0:00,,Kedarnath,25km,landslide,downpour,medium,unknown,0,,,3751,India,IN,Uttarakhand,2000,Pīpalkoti,48.67682,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.0685,30.7331
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3752,7/9/2011 0:00,,Yamunotri,25km,landslide,downpour,medium,unknown,0,,,3752,India,IN,Uttarakhand,7725,Barkot,30.56741,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,78.4129,31.0188
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3821,7/21/2011 0:00,,"Kumaon, Uttarakhand",25km,landslide,rain,medium,unknown,1,,,3821,India,IN,Uttarakhand,32442,Almora,15.271,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.6367,29.7334
latino.foxnews,http://latino.foxnews.com/latino/news/2011/07/18/rainstorm-kills-6-in-northeast-brazil/,3785,7/16/2011 0:00,,Pernambuco,unknown,mudslide,downpour,medium,unknown,0,,,3785,Brazil,BR,Pernambuco,20324,Buíque,30.61676,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-36.9541,-8.8137
Republic the Philippines Mines & Geosciences Bureau,http://r7.mgb.gov.ph/16-february-2012/,4197,2/14/2012 0:00,,"Pulangbato, Cebu City",10km,landslide,downpour,medium,unknown,0,,,4197,Philippines,PH,Central Visayas,48638,Consolacion,4.34527,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,123.92,10.39
latino.foxnews,http://latino.foxnews.com/latino/news/2011/07/18/rainstorm-kills-6-in-northeast-brazil/,3786,7/16/2011 0:00,,Recife,5km,mudslide,downpour,medium,unknown,1,,,3786,Brazil,BR,Pernambuco,1478098,Recife,0.05001,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-34.8813,-8.0543
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3819,7/21/2011 0:00,,"Chamoli , Uttarakhand",25km,landslide,rain,medium,unknown,1,,,3819,India,IN,Uttarakhand,2000,Pīpalkoti,9.78584,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,79.3318,30.4043
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3833,7/22/2011 0:00,,Colima,50km,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Dora,3833,Mexico,MX,Colima,127235,Colima,0.36051,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,-103.7244,19.2444
